Legajo,PUNTAJE PP,PUNTAJE SP
47523427,45.5,68.0
41815372,80.0,59.5
46847041,24.0,69.0
46971766,58.5,28.0
46126061,6.0,17.0
44843773,Ausente,21.5
47174957,73.5,54.0
48125434,97.0,85.0
41962493,4.0,Ausente
44790573,41.0,Ausente
47928686,42.0,Ausente
48068720,63.3,73.0
47577507,73.0,83.0
47304764,2.5,0.0
48902279,85.0,87.0
29095052,Ausente,Ausente
44606297,61.0,36.5
47173558,27.5,Ausente
45154335,Ausente,Ausente
48185333,56.0,75.5
44291338,Ausente,Ausente
30549119,Ausente,Ausente
48397385,43.5,19.0
46847680,84.0,53.0
49198167,Ausente,Ausente
48319236,42.0,4.0
47850326,41.5,3.0
25699383,56.5,Ausente
47265621,45.3,34.0
47175205,Ausente,Ausente
47985705,Ausente,Ausente
48731415,Ausente,Ausente
47580968,12.5,2.0
48127689,Ausente,Ausente
41416452,82.5,76.0
44740196,Ausente,Ausente
48354522,76.8,71.0
46456075,Ausente,Ausente
48411972,51.0,24.0
41962862,Ausente,Ausente
46510811,0.0,0.0
42304213,Ausente,Ausente
48124193,55.0,40.0
45084603,Ausente,Ausente
46767186,Ausente,Ausente
44672959,Ausente,Ausente
46973853,Ausente,Ausente
33047207,Ausente,Ausente
43924988,Ausente,Ausente
199016481,Ausente,Ausente
43603379,Ausente,Ausente
46864914,23.0,17.0
47987732,20.0,25.0
34123024,65.5,56.0
48162569,65.5,70
47578454,55.0,46.0
47910495,Ausente,Ausente
47609305,11.0,15.0
48453220,12.0,12.0
46334461,24.0,12
47067126,62.0,64.0
44274469,Ausente,Ausente
46973862,72.0,53.0
46307621,5.0,6.0
45086340,Ausente,Ausente
48663302,33.0,30.0
40724848,86.0,79.0
44371094,11.0,0.0
44673472,Ausente,Ausente
46377935,17.0,Ausente
46851267,7.0,25
48212762,15.0,Ausente
43951539,Ausente,Ausente
46973890,0.0,Ausente
48677252,74.0,56.0
48320341,74.5,45.0
46949042,75.0,49.0
48162498,Ausente,Ausente
40685599,Ausente,Ausente
39024496,Ausente,Ausente
42679229,Ausente,Ausente
47226259,Ausente,Ausente
48070350,6.0,4.0
48253620,75.0,60.0
48124497,18.0,Ausente
48069793,95.0,97.0
42919031,56.5,68.0
48072793,Ausente,Ausente
44872136,Ausente,Ausente
36642994,Ausente,Ausente
48538275,Ausente,Ausente
40518131,Ausente,Ausente
41962068,77.0,64.0
40417858,38.0,11
41846310,Ausente,Ausente
47906622,96.0,95
45242432,43.0,13.0
44971283,40.0,51.0
47664609,27.5,13
46590900,6.0,Ausente
48599342,8.0,Ausente
48599342,Ausente,Ausente
46231930,10.0,Ausente
48099746,4.0,34
47429300,6.0,13
40682603,92.5,78.0
46175600,9.5,Ausente
48278435,Ausente,Ausente
46589843,78.0,67
40835381,Ausente,Ausente
48691467,74.5,80.0
41908393,80.0,57.0
41115855,Ausente,Ausente
96263984,Ausente,Ausente
45691876,Ausente,Ausente
45789431,Ausente,Ausente
47000191,Ausente,Ausente
45769941,Ausente,Ausente
29373833,Ausente,Ausente
43607218,Ausente,Ausente
44972499,Ausente,Ausente
43143799,92.0,96.0
200378973,Ausente,Ausente
46036675,Ausente,Ausente
42855623,Ausente,Ausente
47265975,59.0,26.0
44014373,22.0,Ausente
45933594,Ausente,Ausente
46451488,Ausente,Ausente
45408461,Ausente,Ausente
45835043,75.9,52.5
45241833,Ausente,Ausente
47475210,41.0,12.5
200479603,Ausente,Ausente
47002232,65.4,48.0
44975984,Ausente,Ausente
46130998,Ausente,Ausente
43785896,Ausente,Ausente
40521542,Ausente,Ausente
44720812,0.0,Ausente
46721929,2.0,5.0
46884570,23.0,6.0
47820108,76.3,89.5
48328385,10.8,0.0
40108480,Ausente,Ausente
48073534,24.7,27.5
47824738,Ausente,Ausente
46452700,26.4,Ausente
45697463,Ausente,Ausente
45486565,7.0,0.0
46973879,46.2,42.0
44195448,Ausente,Ausente
48017222,30.0,Ausente
47352022,Ausente,0.0
